pair_id	disease1	disease2	baseline	BMI	SBP	ApoB	FG	SMK	SLEEP	JOINT
carpal_tunnel_COPD	carpal_tunnel	COPD	0.3211369125337047	0.238107	0.315399	0.319592	0.298323	0.261256	0.303616	0.181642915895634
carpal_tunnel_coronary_heart	carpal_tunnel	coronary_heart	0.2156941573617374	0.128712	0.201022	0.212825	0.198186	0.178925	0.205588	0.09107148828275058
carpal_tunnel_deaf	carpal_tunnel	deaf	0.06323769454089913	0.040184	0.071216	0.062697	0.07154	0.035351	0.06108	0.03347081241198692
carpal_tunnel_depression	carpal_tunnel	depression	0.1837675684237839	0.159676	0.185782	0.183956	0.171573	0.132093	0.166113	0.11263743530103802
carpal_tunnel_diabetes_type_2	carpal_tunnel	diabetes_type_2	0.2416978561203827	0.068125	0.229278	0.240074	0.153484	0.218802	0.242682	4.6180238717716623e-4
carpal_tunnel_diverticuli	carpal_tunnel	diverticuli	0.18441852145687693	0.14151	0.186342	0.183915	0.167584	0.160746	0.177503	0.12013587201692767
carpal_tunnel_ED	carpal_tunnel	ED	0.22880191319251766	0.120868	0.221313	0.229454	0.177906	0.181426	0.208928	0.05244380733510688
carpal_tunnel_enthesopathy_lower	carpal_tunnel	enthesopathy_lower	0.5124448768223507	0.448308	0.508186	0.515217	0.505845	0.485824	0.488244	0.4179150296671919
carpal_tunnel_enthesopathy_shoulder	carpal_tunnel	enthesopathy_shoulder	0.4550446411184296	0.408715	0.453513	0.453895	0.439103	0.426017	0.430048	0.3646758426357574
carpal_tunnel_enthesopathy_upper	carpal_tunnel	enthesopathy_upper	0.56605945936998	0.536449	0.566479	0.56537	0.559542	0.542629	0.539535	0.5004643894948138
carpal_tunnel_essential_tremor	carpal_tunnel	essential_tremor	0.061926146064902675	0.045323	0.060723	0.061293	0.077371	0.064254	0.040379	0.0381594206735325
carpal_tunnel_female_genital_prolapse	carpal_tunnel	female_genital_prolapse	0.08756278996538482	0.071208	0.091021	0.086997	0.073517	0.073591	0.08239	0.054812566449250755
carpal_tunnel_fibromatosis	carpal_tunnel	fibromatosis	-0.06080384827460525	-0.038007	-0.060326	-0.061576	-0.057554	-0.081944	-0.060958	-0.05417705948368841
carpal_tunnel_fibromyalgia	carpal_tunnel	fibromyalgia	0.3809936629335274	0.314182	0.376726	0.381482	0.376209	0.340493	0.350628	0.26834233732916146
carpal_tunnel_gastritis_duodenitis	carpal_tunnel	gastritis_duodenitis	0.36596986098271517	0.300877	0.363383	0.36427	0.354034	0.326316	0.342186	0.2552963437758864
carpal_tunnel_glaucoma	carpal_tunnel	glaucoma	-0.06314857925952035	-0.050952	-0.068782	-0.062564	-0.078313	-0.057462	-0.059366	-0.056897703878325136
carpal_tunnel_GORD	carpal_tunnel	GORD	0.3335353726076671	0.261827	0.329913	0.331541	0.314598	0.296426	0.315124	0.21857763404737784
carpal_tunnel_gout	carpal_tunnel	gout	0.15371218972876152	0.013729	0.139412	0.15151	0.118149	0.135275	0.142381	-0.016353457704430172
carpal_tunnel_HF	carpal_tunnel	HF	0.24537105466971418	0.070303	0.232979	0.247688	0.208296	0.202134	0.222358	0.006856119046388751
carpal_tunnel_hypertension	carpal_tunnel	hypertension	0.220987719943812	0.099134	0.235969	0.224848	0.181319	0.197324	0.213567	0.07380020250298962
carpal_tunnel_hyperthyroid	carpal_tunnel	hyperthyroid	0.09400325061556872	0.076795	0.084954	0.09406	0.060675	0.07884	0.107706	0.06134410901381752
carpal_tunnel_hypothyroid	carpal_tunnel	hypothyroid	0.10880386000848553	0.06021	0.109068	0.109351	0.107731	0.09067	0.109387	0.05894076733330142
carpal_tunnel_IBS	carpal_tunnel	IBS	0.22785173523669852	0.238517	0.231416	0.229811	0.230534	0.210725	0.210612	0.21712623691405883
carpal_tunnel_IDA	carpal_tunnel	IDA	0.2559174144429403	0.150225	0.24552	0.254645	0.218175	0.220419	0.223952	0.08191709998907956
carpal_tunnel_insomnia	carpal_tunnel	insomnia	0.28114673995722084	0.264638	0.288257	0.2824	0.27075	0.23058	0.21843	0.1797412527823652
carpal_tunnel_intervert_disc	carpal_tunnel	intervert_disc	0.40009027726949326	0.345907	0.397319	0.399137	0.389675	0.365645	0.383437	0.3116600102793941
carpal_tunnel_isch_stroke_tia	carpal_tunnel	isch_stroke_tia	0.19997804403614727	0.128954	0.184619	0.201905	0.185116	0.16209	0.195121	0.1007373691436241
carpal_tunnel_migraine	carpal_tunnel	migraine	0.16181015684400013	0.162459	0.163433	0.159985	0.177967	0.14111	0.151945	0.1498099168370246
carpal_tunnel_OA	carpal_tunnel	OA	0.5394799784861325	0.459244	0.540581	0.539213	0.535602	0.51868	0.517428	0.4400537330899065
carpal_tunnel_osteoporosis	carpal_tunnel	osteoporosis	0.011663698266918215	0.080692	0.016835	0.013355	0.036846	0.00325	-0.006249	0.06543492047426012
carpal_tunnel_periph_neuro	carpal_tunnel	periph_neuro	0.5205217136244161	0.438711	0.517935	0.519377	0.490658	0.493106	0.49436	0.3871687081764519
carpal_tunnel_peripheral_arterial	carpal_tunnel	peripheral_arterial	0.3393109635619365	0.221288	0.337204	0.337264	0.311368	0.287129	0.318327	0.1628208501409605
carpal_tunnel_PMR	carpal_tunnel	PMR	0.1436243751025292	0.123015	0.139474	0.143123	0.140956	0.134914	0.127477	0.10362949607452578
carpal_tunnel_pri_bladder	carpal_tunnel	pri_bladder	0.08329466789048913	0.074988	0.091534	0.086063	0.098	0.046249	0.078668	0.06540634303269226
carpal_tunnel_pri_breast	carpal_tunnel	pri_breast	-0.06006826416003231	-0.044164	-0.060676	-0.060974	-0.066513	-0.06191	-0.055422	-0.0489061596467505
carpal_tunnel_pri_colorectal	carpal_tunnel	pri_colorectal	-0.09434278324678419	-0.109162	-0.090984	-0.099101	-0.093198	-0.087591	-0.094535	-0.10537177507619913
carpal_tunnel_pri_prost	carpal_tunnel	pri_prost	-0.04143425037197631	-0.015951	-0.040667	-0.044936	-0.044904	-0.027481	-0.032406	-0.008956557731591003
carpal_tunnel_pri_skin	carpal_tunnel	pri_skin	-0.06541136686307081	-0.030303	-0.063022	-0.065664	-0.056698	-0.059589	-0.066401	-0.028608272246362816
carpal_tunnel_psoriasis	carpal_tunnel	psoriasis	0.17480052504568097	0.122546	0.172088	0.174219	0.169473	0.140929	0.155582	0.08900536860810496
carpal_tunnel_RA	carpal_tunnel	RA	0.25351235575945563	0.208271	0.248024	0.253513	0.233128	0.211353	0.239837	0.16490344522404382
carpal_tunnel_raynauds	carpal_tunnel	raynauds	0.03779889792300813	0.081859	0.036168	0.041563	0.074653	0.021205	0.01232	0.06535207528242543
carpal_tunnel_retinal_detach	carpal_tunnel	retinal_detach	-0.06345681561454614	-0.041738	-0.063966	-0.061997	-0.049296	-0.050732	-0.068091	-0.03338822556684714
carpal_tunnel_schizo	carpal_tunnel	schizo	-0.11056895380391558	-0.077124	-0.106563	-0.110532	-0.113186	-0.13915	-0.086035	-0.07923885012878329
carpal_tunnel_scoliosis	carpal_tunnel	scoliosis	0.09844836966411331	0.122574	0.099346	0.097672	0.11917	0.091374	0.084801	0.11336209240958978
carpal_tunnel_sinusitis	carpal_tunnel	sinusitis	0.23696082832430823	0.229284	0.233484	0.24059	0.242806	0.208584	0.2078	0.19404134015111588
carpal_tunnel_sleep_apnoea	carpal_tunnel	sleep_apnoea	0.3013074613069669	0.14033	0.296968	0.299562	0.281946	0.273413	0.297787	0.13405359938672015
carpal_tunnel_spondylolisthesis	carpal_tunnel	spondylolisthesis	0.358588595400418	0.314463	0.359878	0.357385	0.350243	0.32998	0.344917	0.2878874065686999
carpal_tunnel_spondylosis	carpal_tunnel	spondylosis	0.5595297226656574	0.48956	0.556997	0.558569	0.54775	0.535104	0.536571	0.45393355576684163
carpal_tunnel_stroke_all	carpal_tunnel	stroke_all	0.17233747389058945	0.09039	0.156206	0.173189	0.161415	0.138057	0.183836	0.08225726320274276
