pair_id	baseline_abs_rg	joint_abs_rg	classification
alc_problems_female_genital_prolapse	0.14087554442918873	0.1243885238084895	PERSISTENT
alc_problems_fibromatosis	0.1779343493654527	0.15203263417757718	ATTENUATED
alc_problems_fibromyalgia	0.34299630818596083	0.18479924099234818	PERSISTENT
alc_problems_gastritis_duodenitis	0.3753841508929464	0.2503395566610932	ATTENUATED
alc_problems_glaucoma	0.024140162274960793	0.014120409894321506	UNSTABLE
alc_problems_GORD	0.3283113531695357	0.2202285653011927	ATTENUATED
alc_problems_gout	0.139922160307776	0.07508458879695423	PERSISTENT
alc_problems_HF	0.293394487040488	0.15968038899660117	PERSISTENT
alc_problems_hypertension	0.21232747941588453	0.09225393310235415	PERSISTENT
alc_problems_hyperthyroid	0.06592358795008936	0.017995859916729074	UNSTABLE
alc_problems_hypothyroid	0.08297368087855947	0.038107299131942704	NEAR_NULL_EQUIVALENT
alc_problems_IBS	0.13541639251665086	0.08663249134877246	PERSISTENT
alc_problems_IDA	0.10763313470686042	0.05943499482840569	UNSTABLE
alc_problems_insomnia	0.4574218245184386	0.3485140518612455	ATTENUATED
alc_problems_intervert_disc	0.2743122878064108	0.139762326439441	ATTENUATED
alc_problems_isch_stroke_tia	0.3538118504014545	0.2562077671746137	PERSISTENT
alc_problems_migraine	0.03957363290793411	0.035017420014209634	UNSTABLE
alc_problems_OA	0.17583364060538204	0.0677965786123399	PERSISTENT
alc_problems_osteoporosis	0.2102081536930732	0.2233781880347495	ATTENUATED
alc_problems_periph_neuro	0.3764429201890211	0.2894535299360239	PERSISTENT
alc_problems_peripheral_arterial	0.5145630978017438	0.37759170105558576	ATTENUATED
alc_problems_PMR	0.04289895827595898	0.10332384672464881	UNSTABLE
alc_problems_pri_bladder	0.22384705273048333	0.1605200966223222	PERSISTENT
alc_problems_pri_breast	0.07592963138886444	0.08907357038274313	UNSTABLE
alc_problems_pri_colorectal	0.07088557151864343	0.11706324989853206	UNSTABLE
alc_problems_pri_prost	0.01543708274632809	0.030952741349428364	UNSTABLE
alc_problems_pri_skin	0.008098105781441106	0.014031404326786975	UNSTABLE
alc_problems_psoriasis	0.19496415438313164	0.0982882100823713	PERSISTENT
alc_problems_RA	0.2349043951843723	0.09781934837161678	PERSISTENT
alc_problems_raynauds	0.12358225240323828	0.07542706766928747	UNSTABLE
alc_problems_retinal_detach	0.000974008724768682	0.03907518082010639	UNSTABLE
alc_problems_schizo	0.22156419988700418	0.2109229252082521	ATTENUATED
alc_problems_scoliosis	0.16083913231519245	0.15375189010808882	UNSTABLE
alc_problems_sinusitis	0.23896253927638744	0.15239090010637157	PERSISTENT
alc_problems_sleep_apnoea	0.11133134292170792	0.010611895433330616	NEAR_NULL_EQUIVALENT
alc_problems_spondylolisthesis	0.23873334710763858	0.14986018869547102	PERSISTENT
alc_problems_spondylosis	0.39581162239727524	0.27321274490381864	ATTENUATED
alc_problems_stroke_all	0.25840079747909894	0.1622738059619081	PERSISTENT
alc_problems_tendon	0.19135318146930433	0.029522809872240346	NEAR_NULL_EQUIVALENT
alc_problems_thromboembolic	0.09084608709038916	0.020920523960225954	UNSTABLE
alc_problems_TIA	0.2938683030283945	0.1917525473315815	PERSISTENT
alc_problems_tinnitus	0.19183738018211882	0.20140693929369372	PERSISTENT
alc_problems_ulc_colitis	0.08973858358258434	0.09631581240942719	UNSTABLE
alc_problems_ulcer_peptic	0.3846561279882634	0.1948268263630159	PERSISTENT
alc_problems_urine_incont	0.24775397160850993	0.1368046940475877	PERSISTENT
alc_problems_urolithiasis	0.0437538359875546	0.034702138104683894	UNSTABLE
alc_problems_valve_nonrheumatic	0.24634428408267192	0.1932304425466047	ATTENUATED
allergic_rhinitis_anxiety	0.2664073729288386	0.29929032064400013	ATTENUATED
allergic_rhinitis_asthma	0.6994700532591706	0.739583128003492	ATTENUATED
allergic_rhinitis_b12_def	0.1716538086487815	0.1729999243414281	PERSISTENT
allergic_rhinitis_BPH	0.16316779105945164	0.15942212319892263	ATTENUATED
allergic_rhinitis_bursitis	0.36463235744249006	0.39353960525993026	ATTENUATED
allergic_rhinitis_carpal_tunnel	0.1601904062763332	0.16065753116563367	ATTENUATED
allergic_rhinitis_cataract	0.13931040090752253	0.14492846339855453	ATTENUATED
